"delta1","delta2","Psi11","Psi12","Psi21","Psi22","Theta1","Theta2","Phi1","Phi2","Participant","SSE","AIC","BIC","sigma2_est"
0.0182358826586979,0.920217444654554,0.00844332069273776,0.000861893376390347,-0.00166804873422029,0.000929751094101727,0.712229694166736,0.0504240230572359,-0.449574858827345,-0.114382090861765,"19",3.93872481972289,-529.259571960307,-489.949125189306,0.0283361497821791
0.113253898414889,0.597673833598694,0.0460534517481752,0.0139436153264227,-0.0341461088181774,-0.0276381588041934,0.406277815881885,0.111965350508449,0.0341718845410759,0.306773714298576,"20",11.2074429633055,-370.309966770811,-330.999519999809,0.0806290860669462
0.428290430372153,0.130346459330485,0.150768820888169,0.00411643047595011,-0.0691786149062811,-0.00624066557333514,0.132220353472829,0.524226159733008,-0.179061496831582,-0.322796060760178,"21",16.2707665648964,-313.645593794299,-274.335147023297,0.1170558745676
0.0324488153301184,0.256082260764798,0.0315715394532203,0.00152273754984793,-0.0319417313336972,-0.00333653920376757,0.841851011950826,0.682002859382358,-0.0222546661805931,-0.185827109669331,"22",3.51407969766503,-546.599633397188,-507.289186626186,0.0252811489040649
0.34336535781501,0.433998279555594,0.019040772088375,0.00135747370988628,-0.017852019360352,-0.000860689568868399,0.288684511451921,0.120520159566375,-0.305304616521837,-0.0907519389816988,"23",4.46097303794611,-510.334068517358,-471.023621746357,0.0320933312082454
0.069574348195206,0.130498680083846,0.0401200244478561,0.00541688881742376,-0.0382602845846475,-0.00494134383766279,0.811987483300158,0.764083110319136,-0.21718165269052,-0.11843027881975,"24",2.17887029874564,-619.251246472077,-579.940799701076,0.0156753258902564
0.24610211633823,0.415166330758615,0.110486601699908,0.00585774710134469,-0.140527029838388,-0.0032217749711979,0.0996122504979841,0.0492094255308337,-0.0939123654709409,-0.0767188405748763,"25",12.6347147153818,-352.089718595083,-312.779271824081,0.0908972281682144
0.121140480274335,0.163662428338903,0.0652618624891834,0.00875595160810584,-0.0500685425784111,-0.00383855834354442,0.600664702895705,0.764400825115442,-0.264939964995701,-0.167918942249373,"26",5.48469141518836,-478.931792646959,-439.621345875957,0.0394582116200601
0.248165650674306,0.411490544826859,0.111378665243078,0.00558328159308615,-0.141897055462909,-0.00728048263887506,0.166178933240536,0.108213441645217,-0.178349290096468,-0.0644921181843494,"27",7.87651564199941,-423.919223610903,-384.608776839901,0.0566655801582691
0.469355822731877,0.394002941651605,0.117796796863792,0.00213841936523355,-0.12295331287471,-0.00123888253697599,0.0866598047218354,0.114986264021762,0.0785675348935208,-0.178569428271486,"28",6.85509307028357,-445.031071901614,-405.720625130612,0.0493172163329753
0.0806261840493195,0.437084521378936,0.0547951843342313,0.00878181119839774,-0.0352019568928237,-0.0280191962005954,0.61778900757649,0.293000371130708,-0.182692607909599,0.286169082615243,"29",14.6599611418544,-329.4915922023,-290.181145431298,0.105467346344276
0.302315095020969,0.32313114284757,0.111887068330591,0.00348820380310291,-0.104865071946381,-0.00116225177500125,0.160867183674509,0.0694599749043737,0.0869010030610919,-0.00527891867878761,"30",14.0094390019613,-336.390679005819,-297.080232234817,0.100787330949362
0.376394244164964,0.500102062216339,0.119646532978906,0.00465812093037365,-0.123487478318329,-0.00746087394822909,0.0682123572844769,0.0807115511804179,0.0563869516411857,-0.057530684303635,"31",4.53623008790311,-507.79120309086,-468.480756319858,0.0326347488338354
0.132665312166423,0.114049839002372,0.0388437840728508,0.01483163846486,-0.00409034699676721,-0.00546113758646378,0.459206457155431,0.831384227321039,0.0203373348030417,-0.169107749914645,"32",10.9148415517271,-374.331071221765,-335.020624450763,0.078524039940483
0.0900647117411738,0.00786269538487372,0.0167203429992551,0.0107476667392042,-0.0334233127131647,0.00100803271357582,0.688214240930789,0.969070475306828,0.152329665057757,-0.557415320325006,"33",2.31301734173308,-610.169801297988,-570.859354526986,0.0166404125304538
0.185971475925603,0.332746695919241,0.0926332667055357,0.00542399662359534,-0.0989876097463118,-0.0108897268942656,0.227661738409756,0.123899229186746,-0.184355731805711,-0.0834235287416065,"34",8.46176443055215,-413.02506673135,-373.714619960348,0.0608760030974975
0.369916816335742,0.363230791559145,0.123289569132758,0.00768973404533658,-0.0938033006888349,-0.00839416422953738,0.203117430806993,0.290744450260054,-0.0721880240949908,0.0122850106777928,"35",9.29091813629602,-398.81615762984,-359.505710858839,0.0668411376711944
0.404895669640099,0.242102932216367,0.03032553010071,0.0105328347858714,-0.050783397235478,-0.00047876353795936,0.243118978322928,0.553176502945461,0.0659953135491438,-0.279358668828472,"36",26.1002296472898,-241.81433398706,-202.503887216058,0.187771436311437
0.159745496548478,0.611881748664432,0.034406349953294,0.00548498005925184,-0.0981895018408692,-0.0114560323424054,0.210150692545302,0.0577183021853226,0.141252672036174,0.0981630914890752,"37",10.5066357366256,-380.124770233475,-340.814323462474,0.0755873074577381
