TrialNumber,Ppn,DoorClicked,Won,TotalAmount,PAscore,NAscore,Time_msec
28,159,2,-3.24,0.829999999999999,0.32090775988287,0.380468521229868,615139
29,159,3,3.21,4.04,0.269663250366032,0.0363982430453883,622853
30,159,0,1.07,5.11,0.137891654465593,0.131566617862372,633306
31,159,2,-0.84,4.27,0.108609077598829,0.607408491947292,652879
32,159,3,1.47,5.74,0.928521229868228,0.175490483162519,659621
33,159,0,4.26,10,0.540527086383602,0.0583601756954615,665377
34,159,1,-3.35,6.65,0.0720058565153733,0.673294289897511,671316
35,159,2,-0.43,6.22,0.0646852122986823,0.687935578330893,676405
36,159,3,1.25,7.47,0.225739385065886,0.0510395314787705,681981
37,159,0,1.51,8.98,0.979765739385066,0.563484626647145,688025
38,159,1,3.76,12.74,0.723543191800878,0.124245973645681,693786
39,159,2,0.55,13.29,0.0793265007320644,0.0290775988286973,699378
40,159,3,3.35,16.64,0.496603221083455,0.0583601756954615,707288
41,159,1,-1.05,15.59,0.0866471449487555,0.863631039531479,712717
42,159,0,0.92,16.51,0.218418740849195,0,718437
43,159,3,-3.09,13.42,0.101288433382138,0.622049780380674,725384
44,159,2,-3.97,9.45,0.167174231332357,0.695256222547584,730638
45,159,0,1.05,10.5,0.25502196193265,0.168169838945828,736694
46,159,3,3.02,13.52,0.533206442166911,0.0290775988286973,741787
47,159,0,-3.83,9.69,0.035402635431918,0.512240117130308,747697
48,159,2,-1.19,8.5,0.0573645680819912,0.556163982430454,752795
49,159,1,1.47,9.97,0.167174231332357,0.153528550512445,758172
50,159,1,0.94,10.91,0.0646852122986823,0.241376281112738,855901
51,159,2,-3.89,7.02,0.240380673499268,0.658653001464129,861482
52,159,3,3.53,10.55,0.826032210834553,0.0876427525622258,866588
53,159,0,3.62,14.17,0.774787701317716,0.0437188872620793,871758
54,159,3,3.78,17.95,0.847994143484627,0.0437188872620793,877916
55,159,2,-3.4,14.55,0.342869692532943,0.885592972181552,910919
56,159,2,-3.69,10.86,0.145212298682284,0.914875549048317,919936
57,159,0,-0.82,10.04,0.474641288433382,0.929516837481699,926799
58,159,2,0.69,10.73,0.833352855051244,0.534202049780381,931910
59,159,3,3.17,13.9,0.972445095168375,0.234055636896047,936885
60,159,1,-0.31,13.59,0.0793265007320644,0.658653001464129,951489
61,159,0,3.7,17.29,0.52588579795022,0.0290775988286973,956724
62,159,2,0.66,17.95,0.635695461200586,0.0510395314787705,963419
63,159,2,1.02,18.97,0.159853587115666,0.102284040995608,973915
64,159,3,-3.22,15.75,0.0866471449487555,0.490278184480235,979453
65,159,0,-3.01,12.74,0.0866471449487555,0.753821376281113,990613
66,159,2,-3.92,8.82,0.276983894582723,0.746500732064422,998958
67,159,3,-0.74,8.08,0.59909224011713,0.914875549048317,1006879
68,159,0,-3.77,4.31,0.123250366032211,0.966120058565154,1012777
69,159,1,1.37,5.68,0.899238653001464,0.578125915080527,1020905
70,159,2,-3.13,2.55,0.159853587115666,0.717218155197658,1026259
71,159,0,-0.5,2.05,0.11592972181552,0.0730014641288435,1031020
72,159,2,-3.62,-1.57,0.298945827232797,0.73185944363104,1036067
73,159,1,-1.23,-2.8,0.137891654465593,0.651332357247438,1041241
74,159,0,3.61,0.810000000000002,0.328228404099561,0.336544655929722,1047159
75,159,0,-3.93,-3.12,0.145212298682284,0.548843338213763,1053619
76,159,2,1.25,-1.87,0.18913616398243,0.153528550512445,1059720
77,159,3,-1.08,-2.95,0.11592972181552,0.431713030746706,1064900
78,159,0,3.77,0.820000000000002,0.430717423133236,0.0803221083455348,1070431
79,159,1,0.5,1.32,0.650336749633968,0.138887262079063,1075568
80,159,2,1.17,2.49,0.613733528550512,0.102284040995608,1081562
81,159,2,-0.76,1.73,0.174494875549048,0.18281112737921,1086879
82,159,0,1.15,2.88,0.613733528550512,0.102284040995608,1091743
83,159,3,-0.79,2.09,0.5,0.5,1096855
84,159,0,3.28,5.37,0.745505124450952,0.0730014641288435,1102200
85,159,1,1.33,6.7,0.716222547584187,0.109604685212299,1108025
86,159,2,-0.55,6.15,0.152532942898975,0.263338213762811,1113222
87,159,2,-3.91,2.24,0.101288433382138,0.482957540263543,1118357
88,159,0,0.72,2.96,0.452679355783309,0.168169838945828,1123576
89,159,3,3.58,6.54,0.767467057101025,0.168169838945828,1129314
90,159,3,3.11,9.65,0.672298682284041,0.0290775988286973,1134761
91,159,2,-3.04,6.61,0.123250366032211,0.285300146412885,1140268
92,159,0,1.38,7.99,0.66497803806735,0.138887262079063,1146196
93,159,1,-1.24,6.75,0.108609077598829,0.424392386530015,1151315
94,159,2,3.93,10.68,0.826032210834553,0.0949633967789168,1156337
95,159,3,1.23,11.91,0.657657393850659,0.146207906295754,1161855
96,159,0,3.11,15.02,0.745505124450952,0.0876427525622258,1170141
97,159,2,0.89,15.91,0.298945827232797,0.0583601756954615,1175385
98,159,3,-0.67,15.24,0.269663250366032,0.190131771595901,1180330
99,159,0,-3.88,11.36,0.035402635431918,0.482957540263543,1185406
100,159,1,-0.62,10.74,0.438038067349927,0.951478770131772,1190598
101,159,2,0.55,11.29,0.767467057101025,0.592767203513909,1195287
102,159,3,0.83,12.12,0.862635431918009,0.307262079062958,1200135
103,159,0,3.9,16.02,0.782108345534407,0.00711566617862399,1205066
104,159,1,-3.97,12.05,0.11592972181552,0.343865300146413,1210094
105,159,2,-1.31,10.74,0.167174231332357,0.292620790629576,1232483
106,159,2,3.36,14.1,0.965124450951684,0.292620790629576,1244006
107,159,0,-0.94,13.16,0.577130307467057,0.717218155197658,1256399
108,159,2,-1.04,12.12,0.386793557833089,0.783103953147877,1261705
109,159,3,-1.02,11.1,0.152532942898975,0.512240117130308,1274182
110,159,0,-0.58,10.52,0.52588579795022,0.504919472913617,1287346
111,159,0,0.55,11.07,0.240380673499268,0.160849194729136,1293646
112,159,2,-0.77,10.3,0.130571010248902,0.739180087847731,1298876
113,159,3,-0.71,9.59,0.159853587115666,0.548843338213763,1305102
114,159,0,-3.92,5.67,0.0207613469985359,0.548843338213763,1310591
115,159,2,-3.38,2.29,0.0280819912152269,0.475636896046852,1316043
116,159,1,-1.47,0.82,0.262342606149341,0.80506588579795,1321587
117,159,2,3.44,4.26,0.679619326500732,0.0363982430453883,1331713
118,159,3,-2.67,1.59,0.0866471449487555,0.409751098096633,1336867
119,159,2,-3.59,-2,0.0207613469985359,0.504919472913617,1341822
120,159,1,-1.41,-3.41,0.0866471449487555,0.709897510980967,1346792
121,159,0,-3.18,-6.59,0.0500439238653001,0.490278184480235,1352520
122,159,2,-1.42,-8.01,0.335549048316252,0.848989751098097,1357488
123,159,0,3.04,-4.97,0.474641288433382,0.021756954612006,1362241
124,159,2,-3.2,-8.17,0.11592972181552,0.482957540263543,1368213
