"delta1","delta2","Psi11","Psi12","Psi21","Psi22","Theta1","Theta2","Participant","SSE","AIC","BIC","sigma2_est"
0.449952376677549,0.15200816087178,0.00459814421847486,0.0416633513669692,-0.0487444303938305,-0.00563674331493685,-0.280065415630594,0.7464673988847,"24",5.41580532059154,-484.852957530277,-451.590271800968,0.038409966812706
0.246831492508554,0.413084961895386,0.110264422193794,0.00580425271069277,-0.140339129227629,-0.0030934698154105,0.0992080897846787,0.0500454138174837,"25",12.6382671483754,-356.046987601052,-322.784301871743,0.0896331003430878
0.155770757159104,0.285780595149845,0.0670387896323651,0.00986637897464965,-0.0522703190682493,-0.00682849463397535,0.506065891561456,0.590805658884835,"26",8.39425641452711,-418.242586974529,-384.97990124522,0.0595337334363625
0.249523154121627,0.410148191495799,0.111388279005673,0.00572468413014099,-0.142315926373722,-0.0071743819233687,0.15941244615827,0.113270362236293,"27",7.88356358599176,-427.783274096594,-394.520588367285,0.0559117984822111
0.466833654251013,0.392953980048098,0.118118613993063,0.00240506539621013,-0.123232276461493,-0.00120896146882317,0.0924484252970341,0.120973713706704,"28",6.95993844883581,-446.723903294763,-413.461217565454,0.0493612655945802
0.158750810486159,0.118712985238746,0.0573363124752715,0.0170109595920399,-0.0648868115255863,-0.00630305330773609,0.256551909031953,0.803579934344092,"29",19.0621923042825,-293.578388419588,-260.315702690279,0.135192853221862
0.305182904675281,0.325731038189532,0.113412665605115,0.00376054961861522,-0.105513610270258,-0.00117922031143773,0.152512510397201,0.0694779518716773,"30",14.5403598451173,-334.736749663019,-301.47406393371,0.103123119468917
0.373763584704051,0.500510075786119,0.119192728282095,0.0048406915813518,-0.123486759142531,-0.00728995239943603,0.0717921965329737,0.0788271083337649,"31",4.57694129213752,-510.433137067348,-477.170451338039,0.0324605765399824
0.248704810108656,0.776061010457433,0.0275408367860622,0.02396391346427,0.00742863235435493,-0.0328791247851113,0.0296193769638074,-0.159734734631179,"32",18.699949473291,-296.49467424077,-263.231988511461,0.132623755129724
0.33378259185315,0.173663481626669,-0.0158783114317178,0.0514518653970947,-0.0435973116648999,-0.0077029272424354,-0.333990121830391,0.708710673691295,"33",8.88198533744978,-409.65802304869,-376.39533731938,0.0629928038117006
0.188705404503986,0.332251557820144,0.092851861932518,0.00536773396314171,-0.099149049025196,-0.0107336209624475,0.217962217876067,0.118598765248018,"34",8.47893766099493,-416.716893916863,-383.454208187554,0.0601343096524463
0.36996388686692,0.329228516282565,0.12354340430345,0.00760334135426317,-0.0956030210341768,-0.00722365145003628,0.202066140650622,0.355642914341722,"35",9.90801547729534,-393.041539962167,-359.778854232858,0.0702696133141514
